tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
353845,408987,2015-10-20,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,Damage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,31 GOLLER PLACE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5027301,New York,40.60680111,-74.15932246,940011.204,160390.631
680506,307388,2016-08-25,4,0,OnCurb,Alive,Good,Carpinus betulus,European hornbeam,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,144-021 73 AVENUE,11367,Flushing,408,4,Queens,24,27,15,QN37,Kew Gardens Hills,4077907,New York,40.7249925,-73.81991461,1034165.471,203462.1729
427885,323830,2015-11-04,4,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,317 WARWICK AVENUE,11363,Little Neck,411,4,Queens,19,26,11,QN45,Douglas Manor-Douglaston-Little Neck,4148300,New York,40.77862159,-73.75035395,1053390.334,223048.1986
595606,334985,2016-06-21,46,0,OffsetFromCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,237-046 FAIRBURY AVENUE,11426,Bellerose,413,4,Queens,23,33,11,QN43,Bellerose,4162100,New York,40.72505737,-73.72886651,1059401.74,203550.8036
273975,336548,2015-10-01,4,0,OnCurb,Alive,Good,Metasequoia glyptostroboides,dawn redwood,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,76-051 267 STREET,11040,New Hyde Park,413,4,Queens,23,26,11,QN44,Glen Oaks-Floral Park-New Hyde Park,4155102,New York,40.75073791,-73.70727681,1065354.605,212926.2458
691878,305754,2016-09-01,17,0,OffsetFromCurb,Alive,Good,Quercus phellos,willow oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,150-047 75 ROAD,11367,Flushing,408,4,Queens,24,25,15,QN37,Kew Gardens Hills,4077908,New York,40.72510524,-73.81382188,1035854.144,203506.7804
574957,326168,2016-06-03,0,27,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,119-044 190 STREET,11412,Saint Albans,412,4,Queens,27,29,14,QN08,St. Albans,4039400,New York,40.68772564,-73.75920502,1051030.04,189925.2127
74474,105338,2015-07-17,11,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,130 EAST 18 STREET,10003,New York,106,1,Manhattan,2,74,28,MN21,Gramercy,1005000,New York,40.73615944,-73.98638686,988022.6168,207479.6238
185415,505066,2015-08-29,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,StonesBranchLights,Yes,No,No,No,No,No,Yes,No,No,2059 PROSPECT AVENUE,10457,Bronx,206,2,Bronx,15,79,33,BX17,East Tremont,2037100,New York,40.84644193,-73.88769564,1015321.434,247678.9657
674107,346595,2016-08-22,0,4,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,61-020 GRAND AVENUE,11378,Maspeth,405,4,Queens,30,30,15,QN30,Maspeth,4052100,New York,40.72202017,-73.90370132,1010942.952,202342.6262
